"region","monthly.anom","date"
"North_Pacific",0.0772620524515426,1963-08-01
"North_Pacific",-0.00078515905536805,1963-09-01
"North_Pacific",-0.0727369755169232,1963-10-01
"North_Pacific",-0.0356276675428376,1963-11-01
"North_Pacific",-0.00139599377463431,1963-12-01
"North_Pacific",-0.00257168031340495,1964-01-01
"North_Pacific",-0.0639919310128583,1964-02-01
"North_Pacific",-0.19456302926072,1964-03-01
"North_Pacific",-0.125500901039276,1964-04-01
"North_Pacific",-0.0797578424951295,1964-05-01
"North_Pacific",-0.22688432173233,1964-06-01
"North_Pacific",-0.339465338756527,1964-07-01
"North_Pacific",-0.429095012901596,1964-08-01
"North_Pacific",-0.497073029897846,1964-09-01
"North_Pacific",-0.470621778549221,1964-10-01
"North_Pacific",-0.524968089611399,1964-11-01
"North_Pacific",-0.400442659542519,1964-12-01
"North_Pacific",-0.365765151374745,1965-01-01
"North_Pacific",-0.339042351790109,1965-02-01
"North_Pacific",-0.351879048968355,1965-03-01
"North_Pacific",-0.404845540503423,1965-04-01
"North_Pacific",-0.456866117572984,1965-05-01
"North_Pacific",-0.485810315262791,1965-06-01
"North_Pacific",-0.464631623911278,1965-07-01
"North_Pacific",-0.449177433858017,1965-08-01
"North_Pacific",-0.397993748999022,1965-09-01
"North_Pacific",-0.463598627346875,1965-10-01
"North_Pacific",-0.290504235966375,1965-11-01
"North_Pacific",-0.372016479124866,1965-12-01
"North_Pacific",-0.307364945975217,1966-01-01
"North_Pacific",-0.316186090545171,1966-02-01
"North_Pacific",-0.0986267752196339,1966-03-01
"North_Pacific",-0.194347036728657,1966-04-01
"North_Pacific",-0.258670221581226,1966-05-01
"North_Pacific",-0.284120163783222,1966-06-01
"North_Pacific",-0.290735674685317,1966-07-01
"North_Pacific",-0.278083577559034,1966-08-01
"North_Pacific",-0.31784646492799,1966-09-01
"North_Pacific",-0.22597343861219,1966-10-01
"North_Pacific",-0.147398593241178,1966-11-01
"North_Pacific",-0.200321168745707,1966-12-01
"North_Pacific",-0.240249259922791,1967-01-01
"North_Pacific",-0.207580798807542,1967-02-01
"North_Pacific",-0.104503777507742,1967-03-01
"North_Pacific",-0.129599395735811,1967-04-01
"North_Pacific",0.194442397950442,1967-05-01
"North_Pacific",0.275709627416635,1967-06-01
"North_Pacific",0.186661242092868,1967-07-01
"North_Pacific",0.467176640120883,1967-08-01
"North_Pacific",0.152236209647623,1967-09-01
"North_Pacific",-0.0467613763394144,1967-10-01
"North_Pacific",-0.0424353023982165,1967-11-01
"North_Pacific",-0.239796341113476,1967-12-01
"North_Pacific",-0.250415010060126,1968-01-01
"North_Pacific",-0.254176995884459,1968-02-01
"North_Pacific",-0.209040992193087,1968-03-01
"North_Pacific",-0.147126539234692,1968-04-01
"North_Pacific",0.0149826996770801,1968-05-01
"North_Pacific",0.150313634136121,1968-06-01
"North_Pacific",-0.0228278157919783,1968-07-01
"North_Pacific",-0.0725857792575078,1968-08-01
"North_Pacific",-0.210479455679504,1968-09-01
"North_Pacific",-0.324754809690798,1968-10-01
"North_Pacific",-0.255068613680758,1968-11-01
"North_Pacific",-0.255682991553299,1968-12-01
"North_Pacific",-0.1201533915315,1969-01-01
"North_Pacific",-0.128420739675331,1969-02-01
"North_Pacific",-0.221128938690025,1969-03-01
"North_Pacific",-0.174604817897384,1969-04-01
