"","date","anom"
"157","01/01/63",0.288908803020604
"158","02/01/63",-0.0849434650989006
"159","03/01/63",-0.477129330919327
"160","04/01/63",-0.561689458701395
"161","05/01/63",-0.377716614773659
"162","06/01/63",-0.510611935964097
"163","07/01/63",-1.02100746689931
"164","08/01/63",-0.881196770979011
"165","09/01/63",0.204336172536663
"166","10/01/63",0.0194834036671597
"167","11/01/63",-0.467574003638457
"168","12/01/63",-0.0616531120916909
"169","01/01/64",0.0562267226480838
"170","02/01/64",-0.202023310040164
"171","03/01/64",-0.638635348832316
"172","04/01/64",-0.454452953822708
"173","05/01/64",-0.0278892111660832
"174","06/01/64",-0.0581198647294355
"175","07/01/64",-0.162549673539141
"176","08/01/64",-1.27073476884676
"177","09/01/64",-1.31690580333057
"178","10/01/64",-0.658999709331471
