"end.year","year","ice.trend","height.pc1"
1976,1960,1.32119672043162,1.02190574630578
1976,1961,1.24026023770308,-0.0828760624688626
1976,1962,1.29599566800344,0.29190514638366
1976,1963,1.21465733286221,0.388451948942648
1976,1964,1.0802627330861,-0.53753915723639
1976,1965,0.808027546443912,0.725661506795785
1976,1966,0.663812427991888,1.21391334802938
1976,1967,0.373922079111678,-0.664714877831244
1976,1968,0.215620923937918,-0.224508899288516
1976,1969,0.0527858778578026,1.46845244865943
1976,1970,0.0610050544343335,0.928678872144945
1976,1971,0.178460583110029,0.216524296408664
1976,1972,0.096611255826446,-0.515861769336825
1976,1973,0.151967905332182,-1.04928291644664
1976,1974,0.0230679398267669,-0.0586759079918472
1976,1975,-0.239224225269117,-0.712932287446553
1976,1976,-0.719347705834034,-1.41976297770113
1977,1958,1.22381653603853,1.02873658945565
